Date      ,Symbol,ListingMarket,OpeningCross,ClosingCross,IntradayCross,
----------,------,-------------,------------,------------,-------------,
01/02/2015,AAL   ,             ,      169168,      338447,            0,
01/02/2015,AAME  ,             ,         200,           0,            0,
01/02/2015,AAOI  ,             ,         508,       35903,            0,
01/02/2015,AAON  ,             ,         767,        6205,            0,
01/02/2015,AAP   ,             ,           2,           0,            0,
01/02/2015,AAPL  ,             ,      410806,     2370515,            0,
01/02/2015,AAU   ,             ,        1500,           0,            0,
01/02/2015,AAVL  ,             ,        1177,       11860,            0,
01/02/2015,AAWW  ,             ,        1516,        6339,            0,
01/02/2015,AAXJ  ,             ,        2077,          11,            0,
01/02/2015,ABAC  ,             ,          16,           0,            0,
01/02/2015,ABAX  ,             ,        1250,       11798,            0,
01/02/2015,ABC   ,             ,           2,           0,            0,
01/02/2015,ABCB  ,             ,         901,        2569,            0,
01/02/2015,ABCD  ,             ,           0,          68,            0,
01/02/2015,ABCO  ,             ,        1047,        7401,            0,
01/02/2015,ABCW  ,             ,         355,         920,            0,
01/02/2015,ABDC  ,             ,         300,        3545,            0,
01/02/2015,ABGB  ,             ,        1162,         400,            0,
01/02/2015,ABIO  ,             ,        5089,       19300,            0,
01/02/2015,ABMD  ,             ,        2134,       14382,            0,
01/02/2015,ABTL  ,             ,         401,         595,            0,
01/02/2015,ABY   ,             ,        2819,        8276,            0,
01/02/2015,ACAD  ,             ,        6496,       42133,            0,
01/02/2015,ACAS  ,             ,        8982,       60561,            0,
01/02/2015,ACAT  ,             ,        1926,        3219,            0,
01/02/2015,ACET  ,             ,        1703,        6120,            0,
01/02/2015,ACFC  ,             ,           0,         175,            0,
01/02/2015,ACFN  ,             ,         400,        6830,            0,
01/02/2015,ACGL  ,             ,        2711,       16555,            0,
01/02/2015,ACHC  ,             ,        3756,       21506,            0,
01/02/2015,ACHN  ,             ,       23392,       59487,            0,
01/02/2015,ACIW  ,             ,        5745,       44933,            0,
01/02/2015,ACLS  ,             ,        8550,       12522,            0,
01/02/2015,ACOR  ,             ,        2540,       26909,            0,
01/02/2015,ACPW  ,             ,        2050,         119,            0,
01/02/2015,ACRX  ,             ,        3485,       15979,            0,
01/02/2015,ACSF  ,             ,         476,        4903,            0,
